Dataset,Model,Batch Size,Optimizer,Learning Rate,Test Accuracy (%),Results Dir,Model File
FashionMNIST,ResNet-18,16,Adam,0.0001,97.47,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs16_Adam_lr0.0001_best.pth
FashionMNIST,ResNet-18,16,Adam,0.001,93.34,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs16_Adam_lr0.001_best.pth
FashionMNIST,ResNet-18,16,SGD,0.0001,94.41,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs16_SGD_lr0.0001_best.pth
FashionMNIST,ResNet-18,16,SGD,0.001,96.59,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs16_SGD_lr0.001_best.pth
FashionMNIST,ResNet-18,32,Adam,0.0001,97.28,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs32_Adam_lr0.0001_best.pth
FashionMNIST,ResNet-18,32,Adam,0.001,93.84,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs32_Adam_lr0.001_best.pth
FashionMNIST,ResNet-18,32,SGD,0.0001,96.26,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs32_SGD_lr0.0001_best.pth
FashionMNIST,ResNet-18,32,SGD,0.001,95.64,results_with_pinmemory=false_epochs=10,fashion_resnet18_bs32_SGD_lr0.001_best.pth
FashionMNIST,ResNet-50,16,Adam,0.0001,96.4,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs16_Adam_lr0.0001_best.pth
FashionMNIST,ResNet-50,16,Adam,0.001,91.48,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs16_Adam_lr0.001_best.pth
FashionMNIST,ResNet-50,16,SGD,0.0001,95.46,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs16_SGD_lr0.0001_best.pth
FashionMNIST,ResNet-50,16,SGD,0.001,96.56,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs16_SGD_lr0.001_best.pth
FashionMNIST,ResNet-50,32,Adam,0.0001,96.09,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs32_Adam_lr0.0001_best.pth
FashionMNIST,ResNet-50,32,Adam,0.001,91.51,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs32_Adam_lr0.001_best.pth
FashionMNIST,ResNet-50,32,SGD,0.0001,96.44,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs32_SGD_lr0.0001_best.pth
FashionMNIST,ResNet-50,32,SGD,0.001,97.2,results_with_pinmemory=false_epochs=10,fashion_resnet50_bs32_SGD_lr0.001_best.pth
MNIST,ResNet-18,16,Adam,0.0001,99.57,results_with_pinmemory=false_epochs=10,mnist_resnet18_bs16_Adam_lr0.0001_best.pth
MNIST,ResNet-18,16,Adam,0.001,99.23,results_with_pinmemory=false_epochs=10,mnist_resnet18_bs16_Adam_lr0.001_best.pth
MNIST,ResNet-18,16,SGD,0.0001,99.75,results_with_pinmemory=false_epochs=10,mnist_resnet18_bs16_SGD_lr0.0001_best.pth
